SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 4397000
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 9000, T[ns] = 18567400
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 9000, T[ns] = 635438200
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 9000, T[ns] = 545207800
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 9000, T[ns] = 706948100
std::sort Algorithm, Random Uniform Data, N = 9000, T[ns] = 1799000
std::sort Algorithm, Ascending Data, N = 9000, T[ns] = 932400
std::sort Algorithm, Descending Data, N = 9000, T[ns] = 880200
std::sort Algorithm, Constant Data, N = 9000, T[ns] = 1280500
SelectionSort Algorithm, Random Uniform Data, N = 9000, T[ns] = 209134400
SelectionSort Algorithm, Ascending Data, N = 9000, T[ns] = 208244600
SelectionSort Algorithm, Descending Data, N = 9000, T[ns] = 213492200
SelectionSort Algorithm, Constant Data, N = 9000, T[ns] = 207453800
InsertionSort Algorithm, Random Uniform Data, N = 9000, T[ns] = 234511400
InsertionSort Algorithm, Ascending Data, N = 9000, T[ns] = 56900
InsertionSort Algorithm, Descending Data, N = 9000, T[ns] = 465716000
InsertionSort Algorithm, Constant Data, N = 9000, T[ns] = 56300
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 9000, T[ns] = 18868500
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 9000, T[ns] = 718285600
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 9000, T[ns] = 544077400
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 9000, T[ns] = 694978700
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 9000, T[ns] = 30853100
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 9000, T[ns] = 687806800
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 9000, T[ns] = 482858400
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 9000, T[ns] = 688772200
std::sort Algorithm, Random Uniform Data, N = 9000, T[ns] = 1730800
std::sort Algorithm, Ascending Data, N = 9000, T[ns] = 929800
std::sort Algorithm, Descending Data, N = 9000, T[ns] = 889300
std::sort Algorithm, Constant Data, N = 9000, T[ns] = 1570400
SelectionSort Algorithm, Random Uniform Data, N = 9000, T[ns] = 211550600
SelectionSort Algorithm, Ascending Data, N = 9000, T[ns] = 207868300
SelectionSort Algorithm, Descending Data, N = 9000, T[ns] = 212710900
SelectionSort Algorithm, Constant Data, N = 9000, T[ns] = 208054400
InsertionSort Algorithm, Random Uniform Data, N = 9000, T[ns] = 230507100
InsertionSort Algorithm, Ascending Data, N = 9000, T[ns] = 85000
InsertionSort Algorithm, Descending Data, N = 9000, T[ns] = 470950100
InsertionSort Algorithm, Constant Data, N = 9000, T[ns] = 56600
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 9000, T[ns] = 19920900
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 9000, T[ns] = 708617500
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 9000, T[ns] = 479653800
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 9000, T[ns] = 694631800
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 9000, T[ns] = 31438000
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 9000, T[ns] = 698997500
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 9000, T[ns] = 475811600
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 9000, T[ns] = 707543000
std::sort Algorithm, Random Uniform Data, N = 9000, T[ns] = 1791900
std::sort Algorithm, Ascending Data, N = 9000, T[ns] = 898900
std::sort Algorithm, Descending Data, N = 9000, T[ns] = 863700
std::sort Algorithm, Constant Data, N = 9000, T[ns] = 1284300
SelectionSort Algorithm, Random Uniform Data, N = 9000, T[ns] = 208427700
SelectionSort Algorithm, Ascending Data, N = 9000, T[ns] = 209336100
SelectionSort Algorithm, Descending Data, N = 9000, T[ns] = 215269500
SelectionSort Algorithm, Constant Data, N = 9000, T[ns] = 208214900
InsertionSort Algorithm, Random Uniform Data, N = 9000, T[ns] = 233498400
InsertionSort Algorithm, Ascending Data, N = 9000, T[ns] = 70600
InsertionSort Algorithm, Descending Data, N = 9000, T[ns] = 460360000
InsertionSort Algorithm, Constant Data, N = 9000, T[ns] = 55200
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 9000, T[ns] = 20216400
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 9000, T[ns] = 700222000
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 9000, T[ns] = 479293300
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 9000, T[ns] = 696620600
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 9000, T[ns] = 31235100
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 9000, T[ns] = 699021500
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 9000, T[ns] = 474519400
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 9000, T[ns] = 695608700
std::sort Algorithm, Random Uniform Data, N = 9000, T[ns] = 1772800
std::sort Algorithm, Ascending Data, N = 9000, T[ns] = 901300
std::sort Algorithm, Descending Data, N = 9000, T[ns] = 861700
std::sort Algorithm, Constant Data, N = 9000, T[ns] = 1289100
SelectionSort Algorithm, Random Uniform Data, N = 9000, T[ns] = 208416600
SelectionSort Algorithm, Ascending Data, N = 9000, T[ns] = 210904600
SelectionSort Algorithm, Descending Data, N = 9000, T[ns] = 212345900
SelectionSort Algorithm, Constant Data, N = 9000, T[ns] = 207862800
InsertionSort Algorithm, Random Uniform Data, N = 9000, T[ns] = 231886800
InsertionSort Algorithm, Ascending Data, N = 9000, T[ns] = 55300
InsertionSort Algorithm, Descending Data, N = 9000, T[ns] = 463853600
InsertionSort Algorithm, Constant Data, N = 9000, T[ns] = 56700
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 9000, T[ns] = 20555800
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 9000, T[ns] = 684862900
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 9000, T[ns] = 476516000
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 9000, T[ns] = 699596100
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 9000, T[ns] = 32030900
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 9000, T[ns] = 712182400
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 9000, T[ns] = 491236000
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 9000, T[ns] = 704343100
std::sort Algorithm, Random Uniform Data, N = 9000, T[ns] = 1770300
std::sort Algorithm, Ascending Data, N = 9000, T[ns] = 918900
std::sort Algorithm, Descending Data, N = 9000, T[ns] = 1045000
std::sort Algorithm, Constant Data, N = 9000, T[ns] = 1359100
SelectionSort Algorithm, Random Uniform Data, N = 9000, T[ns] = 209461900
SelectionSort Algorithm, Ascending Data, N = 9000, T[ns] = 209920000
SelectionSort Algorithm, Descending Data, N = 9000, T[ns] = 213897900
SelectionSort Algorithm, Constant Data, N = 9000, T[ns] = 213782100
InsertionSort Algorithm, Random Uniform Data, N = 9000, T[ns] = 250516700
InsertionSort Algorithm, Ascending Data, N = 9000, T[ns] = 86600
InsertionSort Algorithm, Descending Data, N = 9000, T[ns] = 485368100
InsertionSort Algorithm, Constant Data, N = 9000, T[ns] = 60400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 9000, T[ns] = 19987400
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 9000, T[ns] = 712274900
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 9000, T[ns] = 505078700
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 9000, T[ns] = 706798000
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 9000, T[ns] = 31781800
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 9000, T[ns] = 706940200
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 9000, T[ns] = 477957000
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 9000, T[ns] = 697633700
std::sort Algorithm, Random Uniform Data, N = 9000, T[ns] = 1768300
std::sort Algorithm, Ascending Data, N = 9000, T[ns] = 911300
std::sort Algorithm, Descending Data, N = 9000, T[ns] = 868900
std::sort Algorithm, Constant Data, N = 9000, T[ns] = 1285800
SelectionSort Algorithm, Random Uniform Data, N = 9000, T[ns] = 239731400
SelectionSort Algorithm, Ascending Data, N = 9000, T[ns] = 211309800
SelectionSort Algorithm, Descending Data, N = 9000, T[ns] = 212623000
SelectionSort Algorithm, Constant Data, N = 9000, T[ns] = 205743200
InsertionSort Algorithm, Random Uniform Data, N = 9000, T[ns] = 229939400
InsertionSort Algorithm, Ascending Data, N = 9000, T[ns] = 55100
InsertionSort Algorithm, Descending Data, N = 9000, T[ns] = 464329900
InsertionSort Algorithm, Constant Data, N = 9000, T[ns] = 88100
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 9000, T[ns] = 20123200
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 9000, T[ns] = 716976400
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 9000, T[ns] = 493891900
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 9000, T[ns] = 702569100
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 9000, T[ns] = 31505600
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 9000, T[ns] = 701231400
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 9000, T[ns] = 480830700
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 9000, T[ns] = 731610100
std::sort Algorithm, Random Uniform Data, N = 9000, T[ns] = 1975500
std::sort Algorithm, Ascending Data, N = 9000, T[ns] = 1047300
std::sort Algorithm, Descending Data, N = 9000, T[ns] = 926400
std::sort Algorithm, Constant Data, N = 9000, T[ns] = 1520500
SelectionSort Algorithm, Random Uniform Data, N = 9000, T[ns] = 243955800
SelectionSort Algorithm, Ascending Data, N = 9000, T[ns] = 246800400
SelectionSort Algorithm, Descending Data, N = 9000, T[ns] = 234304600
SelectionSort Algorithm, Constant Data, N = 9000, T[ns] = 221605200
InsertionSort Algorithm, Random Uniform Data, N = 9000, T[ns] = 245324000
InsertionSort Algorithm, Ascending Data, N = 9000, T[ns] = 67300
InsertionSort Algorithm, Descending Data, N = 9000, T[ns] = 482011700
InsertionSort Algorithm, Constant Data, N = 9000, T[ns] = 87700
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 9000, T[ns] = 21001500
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 9000, T[ns] = 738680100
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 9000, T[ns] = 508748800
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 9000, T[ns] = 726766500
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 9000, T[ns] = 32532900
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 9000, T[ns] = 738363600
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 9000, T[ns] = 494105200
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 9000, T[ns] = 714271300
std::sort Algorithm, Random Uniform Data, N = 9000, T[ns] = 1756400
std::sort Algorithm, Ascending Data, N = 9000, T[ns] = 1098500
std::sort Algorithm, Descending Data, N = 9000, T[ns] = 900800
std::sort Algorithm, Constant Data, N = 9000, T[ns] = 1294400
SelectionSort Algorithm, Random Uniform Data, N = 9000, T[ns] = 221118800
SelectionSort Algorithm, Ascending Data, N = 9000, T[ns] = 212137000
SelectionSort Algorithm, Descending Data, N = 9000, T[ns] = 217179900
SelectionSort Algorithm, Constant Data, N = 9000, T[ns] = 210862100
InsertionSort Algorithm, Random Uniform Data, N = 9000, T[ns] = 256590100
InsertionSort Algorithm, Ascending Data, N = 9000, T[ns] = 63100
InsertionSort Algorithm, Descending Data, N = 9000, T[ns] = 471526900
InsertionSort Algorithm, Constant Data, N = 9000, T[ns] = 70900
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 9000, T[ns] = 20436600
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 9000, T[ns] = 713376600
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 9000, T[ns] = 484230800
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 9000, T[ns] = 718492800
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 9000, T[ns] = 31498500
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 9000, T[ns] = 720966700
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 9000, T[ns] = 498310300
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 9000, T[ns] = 711995400
std::sort Algorithm, Random Uniform Data, N = 9000, T[ns] = 1776500
std::sort Algorithm, Ascending Data, N = 9000, T[ns] = 936600
std::sort Algorithm, Descending Data, N = 9000, T[ns] = 869400
std::sort Algorithm, Constant Data, N = 9000, T[ns] = 1287000
SelectionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 241458100
SelectionSort Algorithm, Ascending Data, N = 9500, T[ns] = 237889600
SelectionSort Algorithm, Descending Data, N = 9500, T[ns] = 243709500
SelectionSort Algorithm, Constant Data, N = 9500, T[ns] = 237139200
InsertionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 266352600
InsertionSort Algorithm, Ascending Data, N = 9500, T[ns] = 84400
InsertionSort Algorithm, Descending Data, N = 9500, T[ns] = 531205900
InsertionSort Algorithm, Constant Data, N = 9500, T[ns] = 67600
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 9500, T[ns] = 23315100
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 9500, T[ns] = 781277600
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 9500, T[ns] = 537866000
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 9500, T[ns] = 775909600
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 9500, T[ns] = 35730900
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 9500, T[ns] = 777745100
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 9500, T[ns] = 536235800
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 9500, T[ns] = 790492900
std::sort Algorithm, Random Uniform Data, N = 9500, T[ns] = 1955900
std::sort Algorithm, Ascending Data, N = 9500, T[ns] = 1044000
std::sort Algorithm, Descending Data, N = 9500, T[ns] = 910700
std::sort Algorithm, Constant Data, N = 9500, T[ns] = 1905300
SelectionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 235550200
SelectionSort Algorithm, Ascending Data, N = 9500, T[ns] = 238227300
SelectionSort Algorithm, Descending Data, N = 9500, T[ns] = 243295200
SelectionSort Algorithm, Constant Data, N = 9500, T[ns] = 236033900
InsertionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 264087800
InsertionSort Algorithm, Ascending Data, N = 9500, T[ns] = 94500
InsertionSort Algorithm, Descending Data, N = 9500, T[ns] = 528024600
InsertionSort Algorithm, Constant Data, N = 9500, T[ns] = 65900
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 9500, T[ns] = 21614300
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 9500, T[ns] = 793400900
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 9500, T[ns] = 598284800
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 9500, T[ns] = 725892100
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 9500, T[ns] = 22445200
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 9500, T[ns] = 792631700
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 9500, T[ns] = 588314100
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 9500, T[ns] = 716565200
std::sort Algorithm, Random Uniform Data, N = 9500, T[ns] = 1908200
std::sort Algorithm, Ascending Data, N = 9500, T[ns] = 1064300
std::sort Algorithm, Descending Data, N = 9500, T[ns] = 915200
std::sort Algorithm, Constant Data, N = 9500, T[ns] = 1398700
SelectionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 237492900
SelectionSort Algorithm, Ascending Data, N = 9500, T[ns] = 238405400
SelectionSort Algorithm, Descending Data, N = 9500, T[ns] = 240335900
SelectionSort Algorithm, Constant Data, N = 9500, T[ns] = 237241600
InsertionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 260387500
InsertionSort Algorithm, Ascending Data, N = 9500, T[ns] = 79000
InsertionSort Algorithm, Descending Data, N = 9500, T[ns] = 523155200
InsertionSort Algorithm, Constant Data, N = 9500, T[ns] = 58400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 9500, T[ns] = 22380000
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 9500, T[ns] = 792917000
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 9500, T[ns] = 589773400
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 9500, T[ns] = 721646600
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 9500, T[ns] = 21758200
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 9500, T[ns] = 797658900
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 9500, T[ns] = 607571800
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 9500, T[ns] = 782040300
std::sort Algorithm, Random Uniform Data, N = 9500, T[ns] = 1991800
std::sort Algorithm, Ascending Data, N = 9500, T[ns] = 1058100
std::sort Algorithm, Descending Data, N = 9500, T[ns] = 916100
std::sort Algorithm, Constant Data, N = 9500, T[ns] = 1348500
SelectionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 238994100
SelectionSort Algorithm, Ascending Data, N = 9500, T[ns] = 235303200
SelectionSort Algorithm, Descending Data, N = 9500, T[ns] = 247203100
SelectionSort Algorithm, Constant Data, N = 9500, T[ns] = 235016000
InsertionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 264516700
InsertionSort Algorithm, Ascending Data, N = 9500, T[ns] = 68600
InsertionSort Algorithm, Descending Data, N = 9500, T[ns] = 524263700
InsertionSort Algorithm, Constant Data, N = 9500, T[ns] = 70700
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 9500, T[ns] = 22511000
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 9500, T[ns] = 774954800
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 9500, T[ns] = 529296600
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 9500, T[ns] = 777077800
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 9500, T[ns] = 36287000
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 9500, T[ns] = 812426100
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 9500, T[ns] = 549128700
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 9500, T[ns] = 812726500
std::sort Algorithm, Random Uniform Data, N = 9500, T[ns] = 2590900
std::sort Algorithm, Ascending Data, N = 9500, T[ns] = 1511200
std::sort Algorithm, Descending Data, N = 9500, T[ns] = 1396200
std::sort Algorithm, Constant Data, N = 9500, T[ns] = 1410700
SelectionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 261051200
SelectionSort Algorithm, Ascending Data, N = 9500, T[ns] = 267112300
SelectionSort Algorithm, Descending Data, N = 9500, T[ns] = 263407500
SelectionSort Algorithm, Constant Data, N = 9500, T[ns] = 250031800
InsertionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 260050400
InsertionSort Algorithm, Ascending Data, N = 9500, T[ns] = 58800
InsertionSort Algorithm, Descending Data, N = 9500, T[ns] = 522826400
InsertionSort Algorithm, Constant Data, N = 9500, T[ns] = 106800
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 9500, T[ns] = 21778400
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 9500, T[ns] = 775206700
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 9500, T[ns] = 537250200
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 9500, T[ns] = 792482100
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 9500, T[ns] = 20843300
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 9500, T[ns] = 798474500
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 9500, T[ns] = 538451100
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 9500, T[ns] = 788904500
std::sort Algorithm, Random Uniform Data, N = 9500, T[ns] = 1837400
std::sort Algorithm, Ascending Data, N = 9500, T[ns] = 1175100
std::sort Algorithm, Descending Data, N = 9500, T[ns] = 970100
std::sort Algorithm, Constant Data, N = 9500, T[ns] = 1348500
SelectionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 234232900
SelectionSort Algorithm, Ascending Data, N = 9500, T[ns] = 230826800
SelectionSort Algorithm, Descending Data, N = 9500, T[ns] = 241328000
SelectionSort Algorithm, Constant Data, N = 9500, T[ns] = 232592500
InsertionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 258957300
InsertionSort Algorithm, Ascending Data, N = 9500, T[ns] = 58500
InsertionSort Algorithm, Descending Data, N = 9500, T[ns] = 530340600
InsertionSort Algorithm, Constant Data, N = 9500, T[ns] = 58200
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 9500, T[ns] = 20833000
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 9500, T[ns] = 784189900
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 9500, T[ns] = 580635400
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 9500, T[ns] = 703785600
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 9500, T[ns] = 22206900
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 9500, T[ns] = 772425900
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 9500, T[ns] = 580099100
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 9500, T[ns] = 714524300
std::sort Algorithm, Random Uniform Data, N = 9500, T[ns] = 1865800
std::sort Algorithm, Ascending Data, N = 9500, T[ns] = 1053100
std::sort Algorithm, Descending Data, N = 9500, T[ns] = 908100
std::sort Algorithm, Constant Data, N = 9500, T[ns] = 1384600
SelectionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 231774000
SelectionSort Algorithm, Ascending Data, N = 9500, T[ns] = 233230800
SelectionSort Algorithm, Descending Data, N = 9500, T[ns] = 238053200
SelectionSort Algorithm, Constant Data, N = 9500, T[ns] = 231708200
InsertionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 261670600
InsertionSort Algorithm, Ascending Data, N = 9500, T[ns] = 87300
InsertionSort Algorithm, Descending Data, N = 9500, T[ns] = 517131100
InsertionSort Algorithm, Constant Data, N = 9500, T[ns] = 107300
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 9500, T[ns] = 20961200
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 9500, T[ns] = 776493400
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 9500, T[ns] = 579126500
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 9500, T[ns] = 690211700
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 9500, T[ns] = 21541500
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 9500, T[ns] = 801485300
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 9500, T[ns] = 598293300
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 9500, T[ns] = 757691200
std::sort Algorithm, Random Uniform Data, N = 9500, T[ns] = 2447000
std::sort Algorithm, Ascending Data, N = 9500, T[ns] = 1160600
std::sort Algorithm, Descending Data, N = 9500, T[ns] = 938500
std::sort Algorithm, Constant Data, N = 9500, T[ns] = 1361400
SelectionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 231116200
SelectionSort Algorithm, Ascending Data, N = 9500, T[ns] = 231627500
SelectionSort Algorithm, Descending Data, N = 9500, T[ns] = 237864300
SelectionSort Algorithm, Constant Data, N = 9500, T[ns] = 231707100
InsertionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 256183700
InsertionSort Algorithm, Ascending Data, N = 9500, T[ns] = 60900
InsertionSort Algorithm, Descending Data, N = 9500, T[ns] = 514043200
InsertionSort Algorithm, Constant Data, N = 9500, T[ns] = 73700
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 9500, T[ns] = 43196900
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 9500, T[ns] = 765177700
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 9500, T[ns] = 522030400
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 9500, T[ns] = 769409600
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 9500, T[ns] = 34397900
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 9500, T[ns] = 763683900
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 9500, T[ns] = 521838400
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 9500, T[ns] = 757856500
std::sort Algorithm, Random Uniform Data, N = 9500, T[ns] = 2475600
std::sort Algorithm, Ascending Data, N = 9500, T[ns] = 1096500
std::sort Algorithm, Descending Data, N = 9500, T[ns] = 924800
std::sort Algorithm, Constant Data, N = 9500, T[ns] = 1512200
SelectionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 233651800
SelectionSort Algorithm, Ascending Data, N = 9500, T[ns] = 232227500
SelectionSort Algorithm, Descending Data, N = 9500, T[ns] = 236986300
SelectionSort Algorithm, Constant Data, N = 9500, T[ns] = 236229300
InsertionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 256445500
InsertionSort Algorithm, Ascending Data, N = 9500, T[ns] = 58100
InsertionSort Algorithm, Descending Data, N = 9500, T[ns] = 515131600
InsertionSort Algorithm, Constant Data, N = 9500, T[ns] = 58400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 9500, T[ns] = 22225700
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 9500, T[ns] = 765670000
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 9500, T[ns] = 524078000
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 9500, T[ns] = 818219300
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 9500, T[ns] = 20844500
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 9500, T[ns] = 801897900
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 9500, T[ns] = 523941800
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 9500, T[ns] = 793307400
std::sort Algorithm, Random Uniform Data, N = 9500, T[ns] = 1851100
std::sort Algorithm, Ascending Data, N = 9500, T[ns] = 1110400
std::sort Algorithm, Descending Data, N = 9500, T[ns] = 906600
std::sort Algorithm, Constant Data, N = 9500, T[ns] = 1364300
SelectionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 232995900
SelectionSort Algorithm, Ascending Data, N = 9500, T[ns] = 232536800
SelectionSort Algorithm, Descending Data, N = 9500, T[ns] = 237736300
SelectionSort Algorithm, Constant Data, N = 9500, T[ns] = 233728300
InsertionSort Algorithm, Random Uniform Data, N = 9500, T[ns] = 258897200
InsertionSort Algorithm, Ascending Data, N = 9500, T[ns] = 59000
InsertionSort Algorithm, Descending Data, N = 9500, T[ns] = 527569400
InsertionSort Algorithm, Constant Data, N = 9500, T[ns] = 73200
